sort_id,name,player_id,url,pos,draft_round,draft_overall,draft_year,college,agent
30,"derrick morgan",6525,"https://www.spotrac.com/nfl/tennessee-titans/derrick-morgan-6525/","Outside Linebacker",1,16,2010,"Georgia Tech","Tom Condon (CAA Sports)"
29,"harry douglas",3972,"https://www.spotrac.com/nfl/tennessee-titans/harry-douglas-3972/","Wide Receiver",3,84,2008,"Louisville",""
28,"jason mccourty",6048,"https://www.spotrac.com/nfl/tennessee-titans/jason-mccourty-6048/","Cornerback",6,203,2009,"Rutgers","Young Money APAA Sports"
27,"jerrell freeman",8872,"https://www.spotrac.com/nfl/tennessee-titans/jerrell-freeman-8872/","Inside Linebacker",0,0,2008,"Mary Hardin-Baylor",""
26,"john cyprien",12314,"https://www.spotrac.com/nfl/tennessee-titans/john-cyprien-12314/","Strong Safety",2,33,2013,"Florida International","Drew Rosenhaus (Rosenhaus Sports)"
25,"marcus mariota",16726,"https://www.spotrac.com/nfl/tennessee-titans/marcus-mariota-16726/","Quarterback",1,2,2015,"Oregon","Ryan Tollner (Rep 1 Sports)"
24,"sylvester williams",12308,"https://www.spotrac.com/nfl/tennessee-titans/sylvester-williams-12308/","Defensive Tackle",1,28,2013,"North Carolina","Todd France (CAA Sports)"
23,"tajae sharpe",19094,"https://www.spotrac.com/nfl/tennessee-titans/tajae-sharpe-19094/","Wide Receiver",5,140,2016,"Massachusetts",""
22,"terrance west",14505,"https://www.spotrac.com/nfl/tennessee-titans/terrance-west-14505/","Running Back",3,94,2014,"Towson","Pro Football Syndicate ()"
21,"tyler marz",19612,"https://www.spotrac.com/nfl/tennessee-titans/tyler-marz-19612/","Tackle",0,0,2016,"Wisconsin",""
20,"victor ochi",19378,"https://www.spotrac.com/nfl/tennessee-titans/victor-ochi-19378/","Outside Linebacker",0,0,2016,"SUNY-Stony Brook",""
19,"wesley woodyard",3221,"https://www.spotrac.com/nfl/tennessee-titans/wesley-woodyard-3221/","Inside Linebacker",0,0,2008,"Kentucky",""
18,"william hayes",2896,"https://www.spotrac.com/nfl/tennessee-titans/william-hayes-2896/","Defensive End",4,103,2008,"Winston-Salem","Eastern Athletic Services"
17,"austin reiter",16948,"https://www.spotrac.com/nfl/washington-redskins/austin-reiter-16948/","Center",7,222,2015,"South Florida",""
16,"brandon scherff",16729,"https://www.spotrac.com/nfl/washington-redskins/brandon-scherff-16729/","Guard",1,5,2015,"Iowa","Neil Cornrich (NC Sports)"
15,"chris culliver",7799,"https://www.spotrac.com/nfl/washington-redskins/chris-culliver-7799/","Cornerback",3,80,2011,"South Carolina","Joel Segal (Lagardere Unlimited)"
14,"colt mccoy",6593,"https://www.spotrac.com/nfl/washington-redskins/colt-mccoy-6593/","Quarterback",3,85,2010,"Texas","David Dunn (Athletes First)"
13,"jordan hill",12368,"https://www.spotrac.com/nfl/washington-redskins/jordan-hill-12368/","Defensive Tackle",3,87,2013,"Penn State","Jim Ivler (SportStars)"
12,"josh doctson",18970,"https://www.spotrac.com/nfl/washington-redskins/josh-doctson-18970/","Wide Receiver",1,22,2016,"Texas Christian","Joel Segal (Lagardere Unlimited)"
11,"josh harvey-clemons",21972,"https://www.spotrac.com/nfl/washington-redskins/josh-harvey-clemons-21972/","Inside Linebacker",7,230,2017,"Louisville","The Agency"
10,"kellen clemens",4221,"https://www.spotrac.com/nfl/washington-redskins/kellen-clemens-4221/","Quarterback",2,49,2006,"Oregon",""
9,"logan paulsen",7697,"https://www.spotrac.com/nfl/washington-redskins/logan-paulsen-7697/","Tight End",0,0,2010,"California-Los Angeles","Caric Sports Management"
8,"mario addison",8871,"https://www.spotrac.com/nfl/washington-redskins/mario-addison-8871/","Defensive End",0,0,2011,"Troy",""
7,"preston smith",16762,"https://www.spotrac.com/nfl/washington-redskins/preston-smith-16762/","Outside Linebacker",2,38,2015,"Mississippi State","Rodney Edwards ()"
6,"ryan anderson",21790,"https://www.spotrac.com/nfl/washington-redskins/ryan-anderson-21790/","Outside Linebacker",2,49,2017,"Alabama","SIG Football"
5,"stephen paea",7772,"https://www.spotrac.com/nfl/washington-redskins/stephen-paea-7772/","Defensive Tackle",2,53,2011,"Oregon State","David Dunn (Athletes First)"
4,"su'a cravens",19002,"https://www.spotrac.com/nfl/washington-redskins/su'a-cravens-19002/","failed",-1,-1,-1,"failed","David Dunn (Athletes First)"
3,"t.j. clemmings",16836,"https://www.spotrac.com/nfl/washington-redskins/t.j.-clemmings-16836/","Right Tackle",4,110,2015,"Pittsburgh","Mike McCartney (Priority Sports)"
2,"trent murphy",14456,"https://www.spotrac.com/nfl/washington-redskins/trent-murphy-14456/","Defensive End",2,47,2014,"Stanford","CAA Sports"
1,"will compton",13012,"https://www.spotrac.com/nfl/washington-redskins/will-compton-13012/","Inside Linebacker",0,0,2013,"Nebraska",""
